web-scraper-order,web-scraper-start-url,type_shoes,price,adresse,img-src
"1739391304-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Mocassins","20 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328461_uploaded_image1_1592843388.jpg"
"1739391304-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Nike","23 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328458_uploaded_image1_1592843353.jpg"
"1739391304-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Nike","25 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328454_uploaded_image1_1592843318.jpg"
"1739391304-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets New Balance","25 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328444_uploaded_image1_1592843237.jpg"
"1739391304-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Reebok","18 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328440_uploaded_image1_1592843179.jpg"
"1739391304-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Dior","25 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328429_uploaded_image1_1592843060.jpg"
"1739391304-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Nike","20 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328424_uploaded_image1_1592843024.jpg"
"1739391304-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Timberland","25 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328419_uploaded_image1_1592842965.jpg"
"1739391304-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Nike Presto","15 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328412_uploaded_image1_1592842907.jpg"
"1739391304-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Puma","15 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328409_uploaded_image1_1592842856.jpg"
"1739391304-11","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Wallabies","20 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328407_uploaded_image1_1592842804.jpg"
"1739391304-12","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Nike","20 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328396_uploaded_image1_1592842689.jpg"
"1739391304-13","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Jordan 34","25 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328382_uploaded_image1_1592842507.jpg"
"1739391304-14","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Jordan one","25 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328376_uploaded_image1_1592842428.jpg"
"1739391304-15","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Air Max","25 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328362_uploaded_image1_1592842350.jpg"
"1739391304-16","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Dior","45 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328358_uploaded_image1_1592842305.jpg"
"1739391304-17","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Wallabies","23 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328342_uploaded_image1_1592842189.jpg"
"1739391304-18","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Nike TN","22 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328336_uploaded_image1_1592842151.jpg"
"1739391304-19","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Timberland","25 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2327635_uploaded_image1_1592834652.jpg"
"1739391304-20","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Timberland","25 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2327625_uploaded_image1_1592834561.jpg"
"1739391304-21","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures homme","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2327586_uploaded_image1_1592834150.jpg"
"1739391304-22","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Jordan","25 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2327362_uploaded_image1_1592831870.jpg"
"1739391304-23","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Nike AF Dior","25 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2327356_uploaded_image1_1592831838.jpg"
"1739391304-24","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Jordan","30 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2327351_uploaded_image1_1592831790.jpg"
"1739391304-25","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Nike AF","23 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2327346_uploaded_image1_1592831748.jpg"
