web-scraper-order,web-scraper-start-url,type_habit,price,adresse,img
"1739390045-1","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble jogging","13 000CFA","Dakar, Sénégal",""
"1739390045-2","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtements homme","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal",""
"1739390045-3","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtements homme","25 000CFA","Dakar, Sénégal",""
"1739390045-4","https://sn.coinafrique.com/categorie/vetements-homme?page=119","T-shirt Lacoste","10 000CFA","Dakar, Sénégal",""
"1739390045-5","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Jeans Turque","12 000CFA","Dakar, Sénégal",""
"1739390045-6","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtements homme","12 000CFA","Dakar, Sénégal",""
"1739390045-7","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Jeans Turquie","12 000CFA","Dakar, Sénégal",""
"1739390045-8","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Jeans Turquie","12 000CFA","Dakar, Sénégal",""
"1739390045-9","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble vêtements","12 500CFA","Dakar, Sénégal",""
"1739390045-10","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtements","10 000CFA","Dakar, Sénégal",""
"1739390045-11","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Tee-shirts","3 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-12","https://sn.coinafrique.com/categorie/vetements-homme?page=119","T-shirt","3 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-13","https://sn.coinafrique.com/categorie/vetements-homme?page=119","T-Shirt","3 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-14","https://sn.coinafrique.com/categorie/vetements-homme?page=119","T-shirt","3 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-15","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-16","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalons Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-17","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalons Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-18","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensembles","13 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-19","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble vêtements","13 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-20","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble Vêtements Homme","13 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-21","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensembles homme","10 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-22","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble vêtements","10 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-23","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Habits","Prix sur demande","Dakar-Plateau, Dakar, Sénégal",""
"1739390045-24","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","14 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-25","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","14 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-26","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble","13 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-27","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble Homme","13 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-28","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble","13 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-29","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-30","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-31","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-32","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-33","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalons Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-34","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-35","https://sn.coinafrique.com/categorie/vetements-homme?page=119","T-shirt","3 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-36","https://sn.coinafrique.com/categorie/vetements-homme?page=119","T-shirts homme","3 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-37","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Shirt","3 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-38","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensembles Garçon","10 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-39","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble habits","10 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-40","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble Homme","10 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-41","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalons Garçon","4 500CFA","Dakar Plateau, Dakar, Sénégal",""
"1739390045-42","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Tenue africaine","20 000CFA","Dakar, Sénégal",""
"1739390045-43","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Tenue africaine","25 000CFA","Dakar, Sénégal",""
"1739390045-44","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Tuniques homme 3 pièces","45 000CFA","Dakar, Sénégal",""
"1739390045-45","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Tenue africaine","22 000CFA","Dakar, Sénégal",""
